projectID,acronym,title,objective,frameworkProgramme,ecMaxContribution
624673,IN TIME,In Vitro Tissue Model with Integrated Micro-fluidics and Electronics,"There is a pressing need to move away from animal testing and animal models for the toxicological profiling of chemical substances and new drug formulations. For this reason the generation and validation of alternative test methods of in vitro tissue models is required.
The IN TIME project proposes to bring together recent advances in the fields of ‘organ-on-chips’ (micro-fluidics incorporating in vitro cell growth) with a highly performant electronic monitoring system to provide in-line monitoring of target parameters. The IN TIME platform will use state of the art micro-fluidic technology which will allow for realistic stresses and flows that mimic those to which tissue is subjected to in vivo. It will also harness recent advances in the field of organic bioelectronics which have seen the development of cutting edge devices capable of interfacing with biological systems for rapid and highly sensitive monitoring of tissue in vitro. A key advantage of the proposed platform is that it will use low cost approaches and materials, compatible with current cell culture laboratories for easy integration and use. Through the collaborations of specialists in biology and bioelectronics, the applications micro-fluidics and OECTs for in-line biomedical applications will be exploited.
The success of the IN-TIME project will result in a novel ‘organ-on-chip’ platform that will assist significantly in realizing the 3Rs goal of replacement, refinement and reduction of animal testing, thus contributing to the competitiveness of European research teams, and the training of European researchers in this area of strategic importance.",FP7,194046.6
625472,TIME TO MATURE,Design and validation of a conductive polymer-based system for the functional maturation of human pluripotent stem cell derived cardiomyocytes as a platform for drug testing,"Despite the burden cardiovascular diseases impose on patients and healthcare systems, a curative therapy is lacking. One of the primary limitations is the ineffectiveness of current drug testing methods, which rely on individual cells or animal models. These systems lack the necessary reliability, as shown by the high rate of attrition that additionally increases the cost of drug development. Although cell reprogramming technology has been suggested as a potential solution that opens the path to personalized treatments, its application to the cardiac field has been hampered by the lack of maturity of the obtained cells. Our aim is to develop a drug screening platform by combining the human pluripotent stem cell (hPSC) technology with novel conductive polymers in the fabrication of a biomimicking cardiac niche. We will couple the specific characteristics of the niche, including stiffness, presence of adhesion motifs, mechanical strain and patterning of the substrate, with hPSC-cardiomyocytes (CM). In addition to the unique and physiological electrical stimulation the conductive polymers will transmit, the biofabricated niche will potently drive the maturation of hPSC-CM towards an adult phenotype, truly relevant for the screening of drugs. Our approach will assess the efficacy of this technology using an array of techniques. Importantly, we will introduce for the first time live cell Raman microspectroscopy to the evaluation of the dynamic process maturation. In addition, the creation of reporter hPSC lines enabling the genetic selection of chamber (atrial/ventricular) specific CM will provide high capacity of modeling the requirements of different cardiac diseases, endowing our platform with an unprecedented capacity of success. This proposal has a highly multidisciplinary character, uniting stem cell and material sciences with pharmacologic testing and drug development, and in close relationship with the industry sector.",FP7,231283.2
628506,FISH,Fish Indicatiors of Stress and Health (FISH): Validating the use of embryos and yolk sac larval zebrafish as a model for the study of nociception and veterinary drug testing,"The zebrafish (ZF) is now a widely accepted vertebrate model for research in genetics, neuroscience and development due to its sheer experimental convenience and also its gene, developmental and functional homologies with mammals. ZF are also exploited as a novel model in nociceptive or pain research in a number of laboratories. We are already assessing behavioural and physiological responses in adult ZF to pain but wish to also explore whether embryonic and larval forms offer a useful alternative to adults. This project has three stages. First, using a sophisticated video capture system and automated computational analysis of behaviour, we will compare the behavioural responses to different pain modalities of non-protected larval stages with adults from our current NC3Rs study. This will establish quantifiable behavioural responses to potentially painful stimulation in the larval model. Second, we will characterise the molecular pathways of nociception through a genome-wide analysis of gene expression of the central nervous system (CNS). The screen will be implemented using RNASeq on Illumina and results will be correlated with behaviour. The functional impication of gene responses will be explored by modelling responding genes within a zebrafish regulatory gene network model which will be compared with equivalent mammalian data. We will validate a selection of known and novel candidates by PCR and further in situ hybridisation will determine the precise location of expression in the CNS and adult brain producing a 3D map of brain activity using light sheet microscopy. A third objective is to test a range of analgesic drugs to define which are the most effective in reducing the pain-related behavioural responses and to establish a reliable protocol for wider analgesic testing. The resulting data will be made publically available to researchers, biomedical scientists and veterinarians in order to improve welfare and reduce numbers of adult fish used.",FP7,221606.4
630706,TOXKINBIO,Toxicokinetics and biotransformation in aquatic invertebrates,"""Pesticides, pharmaceuticals and other chemicals support our modern standard of life, but their use can have detrimental impacts on our environment. We want to study the uptake, biotransformation and elimination (toxicokinetics) of pharmaceuticals in aquatic invertebrates. We aim to identify and model biotransformation pathways in four different species. Studying the comparative toxicokinetics of small, aquatic invertebrates is of great interest because it contributes to understanding evolutionary and environmental mechanisms and causes of differences in species sensitivity to chemicals.

We want to apply a cutting edge analytical method to discover and quantify biotransformation products and pathways of pharmaceuticals (Ibuprofen, Fluoxetine, Carbamazepine, Venlafaxine) in small aquatic invertebrates (Daphnia magna, Chironomus riparius, Hyalella azteca, Lymnaea stagnalis).We selected pharmaceuticals which are frequently detected in aquatic systems, have known adverse effects on aquatic invertebrates and are metabolised in humans. Test organisms are cultured and were selected based on their importance in chemical testing (ecotoxicology) as well as their diversity in respiratory strategy and phylogeny.

Extracts of exposed and control organisms are analysed using high resolution mass spectrometry complemented by expert systems for the prediction of transformation pathways and products. We will carry out toxicokinetic experiments where we measure concentrations of parent compound and biotransformation products in the organism at different times during the experiment. A pulsed exposure design ensures efficient measurement and calibration of the toxicokinetic model consisting of a set of differential equations. We hope to find novel biotransformation pathways and will search for patterns in toxicokinetic parameters. Toxicokinetic differences between species will help to understand sensitivity to synthetic chemicals and quantify the importance of biotransformation.""",FP7,100000
101001678,BugDrug,Modulating the gut microbiome to enhance drug efficacy,"Individual response rates to drugs that are widely prescribed to treat common diseases are typically in the range of 50-75%, yet the slow progress and high costs associated with new drug development do not meet the urgent need for new treatment options, particularly given the rapidly increasing burden of chronic diseases.  This ERC project tackles this pressing issue by defining the impacts of the gut microbiome and genetics on drug metabolism, ultimately enabling personalized approaches that enhance efficacy and safety of already marketed drugs via microbiome modulation. I will start with 23 common drugs used to treat chronic cardiometabolic and psychiatric disorders that threaten public health. The project will address important technical and clinical challenges in three innovative parts: 1) a population-based cohort study using the unique LifeLines-10K cohort to build sophisticated models that take genetic, microbial and lifestyle/health factors into account to improve prediction of drug metabolism; 2) pharmacokinetics analyses using innovative, personalized organ-on-a-chip to better understand causality and mechanism; and 3) an intervention trial using probiotics to achieve greater drug efficacy through modulation of the gut microbiome. In particular, the project will deliver microbiome-targeting solutions to improve the efficacy and safety of one or two drugs and a next-generation drug-testing model that uses an innovative organ-on-a-chip system to mimic metabolic flow along the gut-liver axis while taking an individuals genetics and gut microbiome into account.  This project will lay the foundation for major advances in personalized medicine through: (i) better prediction of individual drug metabolism, which will aid therapeutic decision-making; (ii) better understanding of genetics-microbiome interactions in drug metabolism; and (iii) greater drug efficacy through modulation of the gut microbiome.",H2020,1999676
101001746,Mini-HEART,Human mini hearts: looking for culprits and victims in cardiac disease,"Cardiac disease causes morbidity and mortality as frequently as cancer. Predicting cardiac arrhythmia and cardiac failure, understanding multicellular (patho)physiological mechanisms, and devising new treatments represent unmet needs in the field. Human induced pluripotent stem cells (hiPSC) could revolutionise the way we study human disease but unfortunately, they still fall short in recapitulating variable phenotypes and complex cardiovascular diseases. This is partly due to functional immaturity of hiPSC-derived cardiac tissues, shortage of methods for accurate functional analysis and inability to identify cell-type specific contributions to disease pathology. I will address these challenges in Mini-HEART. We recently assembled novel three-dimensional multi-cellular cardiac microtissues as an important step towards full maturation and used these to demonstrate that cardiac disease mutations might directly affect non-myocyte cardiac cells. However, application of hiPSC microtissues to precision medicine remains to emerge. Using a multidisciplinary approach, I will combine isogenic hiPSC, their differentiation into distinct cell types of the heart, multifaceted biophysical assays, and tissue engineering to prove cell-type causality of disease and identify new molecules targeting the culprit cells to rescue the disease phenotype. I plan to use our unique complex hiPSC-cardiac microtissue to 1) identify and synthetically enhance maturation mechanisms; 2) reveal late arrhythmic and fibrotic phenotypes; 3) dissect cell-type specific contributions to complex cardiac diseases, including the role of macrophages and sympathetic nerves; 4) test two therapeutic strategies based on drug-tailoring and gene editing, to modulate the disease phenotype.  Together, Mini-HEART will create new opportunities for designing novel biomedical tools to i) capture phenotypic changes, ii) reveal (patho)physiological mechanisms and ii) develop new therapeutic approaches for heart disease.",H2020,2000000
101002317,BLASTOID,A drug discovery platform for early human embryogenesis.,"The first weeks of human embryonic development are crucial. Early abnormalities or insults result not only in infertility, but also contribute to long-term impairment of human health (e.g., cardiovascular disease and diabetes). Managing the onset of pregnancy therefore offers a huge opportunity to improve public health through effective family planning and disease prevention.
 
To better manage pregnancy, biomedical research would require large numbers of human embryos for use in genetic and drug screening. Unfortunately, however, the scarcity of human embryos makes this impossible. Recently, hope for an alternative approach has come from work in my lab showing that mouse stem cells self-organize into structures closely resembling pre-implantation embryos (a.k.a. blastocysts), that we termed blastoids. Because stem cells can be largely expanded and genetically-modified, these synthetic embryos provide a powerful, scalable alternative that is amenable to drug and genetic screens, thus opening numerous possibilities for therapeutic breakthroughs.

Here, I propose the development of human blastoids and uterine organoids to model embryogenesis and uterine implantation in vitro. This platform will be used to identify potential targets for the therapeutic modulation of the molecular pathways that control (1) early embryogenesis and (2) interactions between the embryo and uterus, and will pave the way to (3) establishing a drug discovery pipeline for the management of implantation.
 
This project will generate key insights into druggable molecules controlling early human embryogenesis, facilitating identification of therapeutic targets to improve in vitro fertilization (IVF) procedures and contraception and, ultimately, to prevent several chronic diseases.",H2020,2000000
101002478,ENGINORG,Engineering kidney organoids to study the interplay between Tissue Mechanics and Metabolism: from development to disease,"Research with human pluripotent stem cells (hPSCs) has led to the development of miniorgan-like structures in culture, so called organoids. Generally, organoids are generated exploiting cell-autonomous responses of hPSCs with minimal control over the external inputs supplied to the system. The unrestrained nature of these approaches explains, in part, key shortcomings of the organoid technology, such as limited capacity to recreate all cell types within an organ, maturation and function.
Data from my laboratory has shown, for the first time, that the presentation of a physical instruction (elastic modulus-stiffness) during the derivation of hPSCs-kidney progenitor cells results in the generation of hPSCs-kidney organoids with higher differentiation potential and functional attributes. Similarly, our preliminary results show that boosting metabolic activities differentially regulated upon the presentation of controlled physical cues represents a new strategy to generate specific kidney cells on demand.
ENGINORG proposes conceptual and technical advances to mechanistically link how the presentation of controlled physical and metabolic constrains during organoid generation are integrated and resolved through gene expression regulation and epigenetics. To this end, we will combine micropatterning techniques, hPSCs-genome engineering, metabolomics, biomaterials design and microfluidics. The identification of the molecular mechanisms connecting how metabolic and mechanical cues modulate cell fate and function will define minimal design principles for the proper control of cell-cell and cell-matrix interplay, and cell organization for organoid generation. This knowledge will be implemented through three interconnected objectives to understand and model early steps of kidney morphogenesis and Congenital anomalies of the kidney and the urinary tract (CAKUT), which account for ~50% of the etiology of chronic kidney disease in children worldwide.",H2020,1999937
101002689,GPSorganoids,Generation of Position Specific organoids to study human neuromuscular system development and disease,"Locomotion results from the interaction between muscles and the nervous system. Dysfunction of such cells results in deadly diseases such as spinal muscular atrophy (SMA) and amyotrophic lateral sclerosis (ALS). These diseases often show regional selectivity but the underlying reasons remain obscure due to the lack of a suitable model system.  In previous work of my laboratory, we established a 3D neuromuscular organoid (NMO) model that allows the simultaneous generation of spinal cord neurons and skeletal muscle cells from human pluripotent stem cells (hPSCs) through a bipotent neuromesodermal progenitor (NMP). NMPs, located in the posterior part of the embryo, are driving axial elongation and coordinated growth of the trunk neuromuscular system. We coaxed hPSC derived NMPs to develop into neuromuscular organoids that form functional neuromuscular junctions supported by the presence of terminal Schwann cells and central pattern generator-like circuits. Thus, we are in the unique position to study in an organoid model the regulatory mechanisms involved in the formation and maintenance of the human neuromuscular system, and the disruption of these mechanisms in diseases. We will (i) identify the molecular requirements for the Generation of Position Specific (GPS) organoids representing distinct spinal cord segments, (ii) use NMOs to model and study ALS and SMA including the establishment of a drug screening platform and (iii) assemble hPSC-derived cerebral organoids and NMOs to include in the model human corticospinal tracts. In the long term, the information gained will have important implications for understanding and eventually treating neuromuscular diseases.",H2020,2799375
101002725,BALDER,Bioactive peptides from human brown fat cells mediating metabolic control,"Obesity is an increasing problem where the central nervous system (CNS) plays a major role by regulating food intake. This regulation is based on feedback systems from peripheral organs, including adipose tissue. Brown adipose tissue (BAT) is a subtype of adipose tissue that produces heat in response to cold by switching from an idle state to a highly energy-consuming state. BAT also secretes signalling molecules called batokines, but the biological effects of batokines on distal tissues are unclear. My overall hypothesis is that the energetic state of BAT will be communicated to the CNS, via batokines, to mediate appetite control, in a BAT-brain axis. To test this, we will establish a peptide library of human plasma peptidomes of samples collected during different states of BAT activity, combined with peptidome datasets generated from human brown fat cells using two complementary approaches: peptidomics and smORF mapping. Joining these datasets will allow us to select batokine candidates that are consistently regulated by alterations in BAT activity in plasma and brown fat cells. Using in silico approaches for peptide ranking and bioactivity prediction, we will select peptides, and create a neural bioactivity screening platform, assessing neural activity and/or plasticity. For this, we will establish 3D-cultures of appetite-regulating neurons, including human iPSC-derived AgRP and POMC neurons as well as of murine primary hypothalamic neurons. These models will be incorporated with high-content screening and imaging approaches. Successful peptides will be tested for metabolic effects in mice models, and targeted neurons and signalling pathways will be tracked down to a single cell level. All experimental data will be integrated with the in-silico data to generate a searchable online atlas of appetite regulating peptides, promoting my overall goal of discovering novel appetite-regulating circuits to identify new strategies to target obesity and its related diseases.",H2020,2000000
101003329,PD-GUT,Parkinson's disease: does it all start with gut inflammation?,"Burgeoning evidence shows that Parkinson's disease (PD) involves the gut before affecting the brain, leading to the fascinating hypothesis that the gut might be the site of disease initiation. Remarkably, the gut origin of PD is still poorly understood. Multiple triggers could serve as a first insult: infections, dysbiosis, and inflammatory bowel diseases (IBDs). All these conditions ultimately converge on intestinal inflammation. Thus, an intriguing hypothesis is that PD is a systemic illness that originates from an inflammatory insult in the gut. This hypothesis is based on the observation that genetic traits relevant for both sporadic and familial PD also modulate immune responses to enteric pathogens and confer risk to IBDs. To dissect shared mechanisms among these seemingly unrelated diseases, I envision a multi- and interdisciplinary project with a unique integration of competences in neuroscience, immunology, and microbiology. Moving beyond the state of the art, I will combine patient stem cell-derived organoid, organ-on-a-chip, and single-cell sequencing approaches to decode the role of intestinal inflammation in PD and to identify new mediators of immune cell contributions to neurodegeneration. Specifically, I will i) mechanistically dissect cell type-specific host immune responses to intestinal pathogens and their link to PD; ii) establish complex human pluripotent stem cell-derived intestinal organoids to investigate intestinal inflammation; and ii) implement patient multiorganoid platforms to identify key players in the communication between the inflamed gut and the brain. Unveiling the critical steps that initiate PD may lead to a conceptual leap forward in our understanding of how the gut affects the brain in both health and disease. The novel methodologies that will be developed will also lay the foundations for future interventions aimed at targeting intestinal inflammation in enteric and neurological diseases.",H2020,1999722.5
101003361,GliomaChip,Glioma on a chip: Probing Glioma Cell Invasion and Gliomagenesis on a Multiplexed Chip,"28% of all primary brain tumors and central nervous system tumors and 80% of malignant tumors are gliomas, which arise from the supportive tissues in the brain. Yet, our ability to effectively treat these cancers is limited by our knowledge of the disease and our ability to test new treatments on accurate models. Advances in microfluidics and cell encapsulation within hydrogels have made significant strides in trying to meet these needs, but the potential to use these technologies for engineering physiologically relevant tissue models has yet to be fully realized. Here, we propose to investigate cancer biology using a microfluidic device with three-dimensional (3D) micro-patterned cellular constructs that may be subjected to flow through microfluidic channels. Using the developed model, we aim to understand the cellular gliomagenesis, glioma cell migration, and angiogenesis and further test drug susceptibility to demonstrate the relevance of the proposed model. To achieve these goals, I have formulated an innovative and interdisciplinary strategy based on my research experience in bottom-up tissue engineering and microfluidics, and brought together a strong team. First, I will receive an intensive training at the Max Planck Institute for Intelligent Systems on micro-robotics to strengthen the bridge between the fields of micro-robotics and bottom-up tissue engineering. Then, I will get a training at the Harvard Medical School on glioma cell culture and cell extraction from a mouse model. Finally, all these efforts will be integrated into the development of an in vitro 3D glioma-on-a-chip model mimicking the complex in vivo microenvironment of glioma. The successful completion of this timely and innovative project will result in an advanced microphysiological system that will contribute to the competitiveness of Europe in the fields of cancer management, pharmaceutics, and personalized medicine.",H2020,157355.52
101003440,GASTRIC,Gastrointestinal Tract on Chip - An automated microfluidics-based modular device for complete simulation of the processes of digestion and absorption of orally ingested bioactive compounds,"People can only ingest food through the oral cavity, and oral administration remains the preferred route for the delivery of drugs or dietary supplements. However, orally ingested compounds must first survive digestion and then be absorbed at the small intestine to reach the systemic circulation. This proposal aims to develop and fabricate the first automated microfluidics-based device for complete simulation of the processes of digestion and intestinal absorption of orally ingested bioactive compounds. The innovation lies on the capacity to simulate the process in full and, on the introduction of integrated sensors for online, real-time monitoring of the pH, barrier integrity, intestinal permeation and cellular responses. In addition, the use of primary cells will allow to create disease models and patient-specific tissues for personalised medicine. Co-cultures with the gut microbiome will allow to assess the effect of the ingested compounds on commensal bacteria and of the latter in nutrient digestion. The work will be conducted at the International Iberian Nanotechnology Laboratory in Portugal, with two secondments projected at the University of Southampton for 4 months, and intersectorally at GlaxoSmithKline, in Stevenage, UK for 2 months. The device will offer the possibility to study minute sample amounts, with high resolution and with the potential for high-throughput analysis, which is key for its adoption by large pharmaceutical and food industries with high economic and social impact. The proposal aligns with the societal challenges 1 (Health, demographic change and wellbeing) and 2 (Food security) of the current Horizon 2020 work programme. The work is multidisciplinary and the combination of learning through research and a comprehensive training plan will strongly improve the applicant's researcher profile and career prospects.",H2020,159815.04
101008099,CompSafeNano,NanoInformatics Approaches for Safe-by-Design NanoMaterials,"The unique properties of nanomaterials (NMs), relative to their bulk form, has seen them used in a rapidly increasing number of commercial applications. However, with these useful new properties of NMs come potential health and environmental hazards. Thus, as part of a responsible innovation approach, NMs potential risks must be assessed in parallel to exploitation of their benefits. Due to their enormous variability, NM risk assessment urgently needs advanced in silico methodologies capable of machine learning from limited experimental datasets. These in silico tools for NMs characterisation, exposure, hazard and risk assessment and sustainability and life cycle assessment, need to support implementation of existing regulatory guidelines and extend regulatory risk assessment to integrate the extensive new knowledge generated computationally. CompSafeNano’s overarching objective is thus to drive the development of integrated and universally applicable nanoinformatics models, with broad domains of applicability across NMs compositions and forms, that are directly usable by industry, especially SMEs, and regulators for NMs risk assessment and decision making. CompSafeNano will establish an extended safe-by-design paradigm that includes environmental sustainability (life cycle assessment) based on in silico predictions with experimental testing to validate the results. CompSafeNano has a clear set of objectives to deliver this vision of an in silico safe-by-design computational platform and will be in close communication with other EU projects to access existing data on NM hazard and integrate existing nanoinformatics and NMs risk governance platforms (i.e. within NanoCommons, NanoSolveIT & RiskGONE). Training activities will benefit both ESRs and ERs from participating organizations, with a strong focus on inter-sectoral exchange (SME-academia) and international collaboration, filling the well-recognised current skills gap in nanoinformatics and big data analytics.",H2020,1748000
101016496,SimCardioTest,Simulation of Cardiac Devices & Drugs for in-silico Testing and Certification,"Despite massive investment in healthcare, huge R&D cost increase and regulatory pathway complexity hamper tremendously commercialisation of new devices & medicines, putting patient populations at risk of not receiving adequate therapy. At the same time, outside healthcare, computer modelling and simulation (CM&S) is precisely recognised to increase speed & agility while reducing costs of development. CM&S can create scientific evidence based on controlled investigations including variability, uncertainty quantification, and satisfying demands for safety, efficacy & improved access.
Cardiac modelling has dramatically gained maturity over the last decades, with personalisation to clinical data enabling validation. We selected a number of cardiac devices and medicines where CM&S is mature enough and that represent the most common cardiac pathologies, to demonstrate a standardised and rigorous approach for in-silico clinical trials. 
SimCardioTest will bring a disruptive innovation by creating an integrated and secure platform standardising & bridging model simulations, in-silico trials, and certification support. This environment will go beyond the state-of-the-art in computational multi-physics & multi-scale personalised cardiac models. Diseased conditions and gender/age differences will be considered to overcome clinical trials limitations such as under-representation of groups (e.g. women, children, low socio-economic status). Advanced big data, visual analytics & artificial intelligence tools will extract the most relevant information.
It is critical that Europe demonstrates its capacity to leverage in-silico technology in order to be competitive in healthcare innovation. SimCardioTest exploitation aims at delivering a major economic impact on the European pharmaceutical and cardiac devices industry. It will accelerate development, certification and commercialisation, and will produce a strong societal impact contributing to personalised healthcare.",H2020,7965875
101016503,ISW,In Silico World: Lowering barriers to ubiquitous adoption of In Silico Trials,"The overall aim of the In Silico World project is to accelerate the uptake of modelling and simulation technologies for the development and regulatory assessment of all kind of medical products. This will be achieved by supporting the trajectory of a number of In Silico Trials solutions through development, validation, regulatory approval, optimisation, and commercial exploitation. These solutions, already developed to different stages, target different medical specialities (endocrinology, orthopaedics, infectiology, neurology, oncology, cardiology), different diseases (osteoporosis, dynapenia-sarcopenia, tuberculosis, multiple sclerosis, mammary carcinoma, arterial stenosis, etc.), and different types of medical products (medicinal products, medical devices, and Advanced Therapeutic Medicinal Products). In parallel the consortium will work with a large multi-stakeholder advisory board to form a community of Practice around In Silico Trials, where academics, industry experts, regulators, clinicians, and patients can develop consensus around Good modelling Practices. As the solutions under development move toward their commercial exploitation, the ISW consortium will make available to the Community of Practice a number of resources (technologies, validation data, first in kind regulatory decisions, technical standardisation plans, good modelling practices, scalability and efficiency-improving solutions, exploitation business models, etc.) that will permanently lower barriers to adoption for any future development.",H2020,7646012.25
101017523,SimInSitu,In-silico Development- and Clinical-Trial-Platform for Testing in-situ Tissue Engineered Heart Valves,"SimInSitu is aiming to develop a sophisticated in-silico method to predict the short- and long-term behavior of in-situ tissue engineered heart valves by combing advanced tissue remodeling algorithms with a personalized virtual heart modelling approach. The method will be specifically developed to predict the complex transformation process of biodegradable heart valves from the initially synthetic scaffold into a fully remodeled & functional valve. This transformation process, named ETR for Endogenous Tissue Restoration, is the core technology for a new generation of very promising biodegradable vascular device currently developed by Xeltis. ETR makes the use of animal derived tissue, which is used in the majority of commercially available bioprosthetic heart valves, obsolete and avoids thereby durability related issues and potentially minimized the need for reoperations. Though, significant progress was made during the past years in developing ERT based devices, it remains very challenging, costly, time-consuming, and rich with obstacles. New knowledge can only be generated through a tedious trial & error process (requiring preclinical and clinical studies), since the restorative process cannot be replicated in an in-vitro environment. Advanced Computer Modelling & Simulation technologies have the potential to overcome this limitation by allowing to test new designs, modified scaffold compositions, or other applications in a virtual patient-specific environment – in-silico. SimInSitu will not only develop such a computer model, but will also verify and validate it thoroughly by making use of the extensive in-vitro and in-vivo data available and where necessary will generate new data to support the credibility of this in-silico method. The availability of this computer model could contribute significantly to an acceleration of especially the ETR-device development and accelerate their translation into the clinic and market.",H2020,5410692.5
101017578,SIMCOR,In Silico testing and validation of Cardiovascular Implantable devices,"The complexity and speed of technological innovation, with increasingly short product cycles, creates huge demand for standardized best practices to apply in-silico validation methods in a statistically robust, repeatable, and efficient way. SIMCor will address this challenge by providing manufacturers of cardiovascular implantable devices with an open, reusable, cloud-based platform for in-silico testing to accelerate development and regulatory approval of their products. The platform will support device validation along the whole R&D pipeline: from initial modelling and in vitro experiments, to animal studies and device implantation and effect simulation on human cohorts. In particular, SIMCor innovative virtual cohort technology will allow to generate and expose new or existing devices to a range of clinically realistic and diversified anatomies and (patho)physiological conditions, also including extensive paediatric populations, meeting the critical need of testing devices in young patients. A standardized multi-level validation process and sensitivity analysis will guarantee statistical credibility for in-silico tests and the platform as a whole, proving solid experimental ground for regulatory authorities, thus accelerating approval and time to market for new products, reducing the burden of human and animal studies and boosting innovation at large. High-priority safety, efficacy and usability endpoints will be investigated, focusing on device implantation and effect simulations in two representative areas: transcatheter aortic valve implantation (TAVI) and pulmonary artery pressure sensors (PAPS). Based on proof-of-validation results and regulatory approval for these use cases, SIMCor will define standard operational procedures (SOPs) and a generalised technical framework for the in-silico testing, validation and regulatory approval of cardiovascular devices, to be put at the service of researchers, medical device manufacturers and regulatory bodies.",H2020,7260356.25
101017716,Neurotwin,Digital twins for model-driven non-invasive electrical brain stimulation,"Neuropsychiatric disorders are a leading cause of global disability-adjusted life years, and solutions are lacking.  Can digital twins be useful? At least in some cases, we hold they will be central to progress. Recent findings suggest that non-invasive brain stimulation may be a valuable option in conditions such as epilepsy or Alzheimer's (AD). Still, a better understanding of mechanisms and patient-specific factors is needed. Personalized hybrid brain models uniting the physics of electromagnetism with physiology – neurotwins or NeTs – are poised to play a fundamental role in understanding and optimizing the effects of stimulation at the individual level.  We ambition to deliver disruptive solutions through model-driven, individualized therapy. We will build a computational framework – weaved and validated across scales and levels of detail– to represent the mechanisms of interaction of electric fields with brain networks and assimilate neuroimaging data. This will allow us to characterize the dynamical landscape of the individual brain and define strategies to restore healthy dynamics. Benefitting from existing databases of healthy and AD individuals, we will deliver the first human and rodent NeTs predicting the effects of stimulation on dynamics. We will then collect detailed multimodal measurements in mice and humans to improve the predictive power of local and whole-brain models under the effects of electrical stimulation, and translate these findings into a technology pipeline for the design of new personalized neuromodulation protocols which we will test in a cohort of AD patients and healthy controls in randomized double-blinded studies.  With research at the intersecting frontier of nonlinear dynamics, network theory, biophysics, engineering, neuroscience, clinical research, and ethics, Neurotwin will deliver model-driven breakthroughs in basic and clinical neuroscience, with patients ultimately benefiting from safe, individualized therapy solutions.",H2020,4485735
101020423,XCYCLE,Toward a comprehensive analysis of the dynamics and mechanisms of X chromosome inactivation in Humans,"The X chromosome is subjected to a formidable degree of concerted gene regulation, with appropriate dosage of X-linked expression in female mammals being ensured by the stable yet reversible inactivation of one of the two copies. The process of X chromosome inactivation (XCI) is critical for female development and linked to sex-specific traits and susceptibilities to various diseases. Well characterized in rodents, there is remarkably little knowledge of how XCI is articulated and controlled in humans, despite its major implication for human health. 
Here we propose to model in vitro the whole XCI cycle in humans to gain novel and high resolution insights into the key steps of the process and to identify critical actors and mechanisms We will exploit human embryonic stem cells and recent culture methods to mimic the early stage of development as well as more advanced organogenesis. This will allow us to investigate the four phases of XCI: (i) the steps that precede XCI (ii) its initiation, (iii) its maintenance in tissues including the hematopoietic system and intestinal organoids and (iv) its reversion in the germline. We will implement a combination of exploratory and mechanistic approaches integrating single cell analyses, CRISPR/Cas9 genome editing and genetic screens to build a comprehensive spatiotemporal map of X-chromosome activity across the human life cycle, to screen for regulators of each phase and to assess the importance of XCI and appropriate X-linked gene dosage to tissue development and homeostasis. Using an innovative set of approaches, we hope to challenge the general principles of XCI that were formerly defined in model organisms and to unravel human-specific features of XCI that could serve as new research paradigms in developmental epigenetics. The molecular and cellular understanding of human XCI that this project should provide is a fundamental pre-requisite to further understand the principles of human development and sex-specific diseases.",H2020,2499930
101023308,SMD-SPH,Development of scalable microfluidic device for drug testing using humanized adipose tissue spheroids,"In regenerative medicine, in vitro tissue engineering products (3D cell cultures) for in vivo therapy are critical for more accurate and more humane medical innovation. Tissue engineered scaffold-free 3D models that exhibit functional hallmarks of native tissues improve our search for biomarkers, drug testing/development and toxicology with more accurate models, while supporting the development of alternative methods to animal use in drug testing, as stated by the Directive (2010/63/EU) established the European Centre for the validation of alternative methods (ECVAM). To replace animal testing, it is important to develop microphysiological systems and ‘body-on-chip’ approaches that allow to account for organ-to-organ interactions in vitro, at a reasonable cost. Yet, most current bioreactors are expensive, designed for organ transplant (thus focused on a single organ) and poorly designed for miniaturization and scale-up. In SMD-SPH, we will develop a microphysiological systems with the following design requirement: a 3D cell culture model, with a continuous and controllable perfusion system for continuous contact with morphogens (growth factors) to obtain a functional native tissue and  monitoring crucial parameters of cell physiology, compatible with scale-up manufacturing. To the best of our knowledge, it is the first time in scientific literature that human adipose tissue-derived stem cells are used to build human white adipose tissue in a novel and scalable microphysiological system. This project meets the convergence of microfluidics and scaffold-free 3D culture models offering a reliable alternative for drug and toxicology assays, besides offer a scalable and reproductible system for future integration into a human-on-a-chip and high-troughput assays. Once an initial prototype is obtained, we will start dissemination to stakeholders and seek early adopters, cosmetic industries.",H2020,196707.84
